Timestamp,1. ปัจจุบันท่านอายุ," 2. อายุงาน (ปี)
โปรดระบุเป็นตัวเลข เช่น 1 ปี 2 เดือน ระบุเป็น 1.2",3. ท่านทำงานอยู่ในหน่วยงานของรัฐหรือไม่,4. ตำแหน่งท่านในปัจจุบัน,5. ปัจจุบันท่านมีรายได้ต่อเดือน (โดยประมาณ),6. ภาระหนี้สินปัจจุบัน (โดยประมาณ),ท่านทราบหรือไม่ว่ารัฐบาลมีแนวคิดขยายอายุเกษียณราชการจากเดิม 60 ปี เป็น 65 ปี,ท่านทราบข้อมูลเกี่ยวกับนโยบายนี้จากแหล่งใด (ตอบได้มากกว่า 1 ข้อ),ท่านคิดว่าเหตุผลหลักที่รัฐบาลดำเนินนโยบายนี้คืออะไร (ตอบได้มากกว่า 1 ข้อ),1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่านโยบายขยายอายุเกษียณราชการเป็นประโยชน์ต่อภาครัฐและประเทศโดยรวม],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่าการเข้าสู่สังคมสูงวัยระดับสุดยอด ส่งผลให้เกิดการขาดแคลนบุคลากรภาครัฐในอนาคต],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่านโยบายขยายอายุเกษียณราชการ สามารถแก้ไขปัญหาการขาดแคลนบุคลากรภาครัฐได้],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่าการใช้เทคโนโลยีสามารถลดภาระงานของเจ้าหน้าที่รัฐได้ โดยไม่จำเป็นต้องคง/เพิ่มจำนวนบุคลากรภาครัฐ],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านคิดว่างานราชการบางประเภทยังต้องอาศัยบุคลากรที่มีประสบการณ์ ไม่สามารถใช้เทคโนโลยีมาทดแทนได้ทั้งหมด],1. ความคิดเห็นต่อนโยบายขยายอายุเกษียณราชการโดยรวม [ท่านเห็นด้วยกับนโยบายขยายอายุเกษียณราชการ],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [1. ท่านคิดว่าข้าราชการอายุ 60 - 65 ปี สามารถทำงานได้อย่างมีประสิทธิภาพ],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [2. ท่านคิดว่าการขยายอายุเกษียณราชการเป็นการลดโอกาสจ้างงานเด็กจบใหม่],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [3. ท่านคิดว่าการจ้างงานบุคคลที่มีประสบการณ์ ส่งผลให้รัฐลดต้นทุนในการฝึก/สอนงานบุคลากรที่ไม่มีประสบการณ์],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [4. ท่านคิดว่าการขยายอายุเกษียณราชการเป็นภาระงบประมาณ เนื่องจากบุคลากรที่มีอายุมาก จะมีอัตราเงินเดือนสูงกว่าราชการบรรจุใหม่],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [5. ท่านคิดว่าการทำงานกับบุคลากรอายุ 60 - 65 ปี อาจมีความท้าทายในการประสานงาน],2. ความคิดเห็นและการรับรู้ผลกระทบต่อองค์กรและสังคม [6. ท่านคิดว่าการจ้างงานบุคลากรอายุมากกว่า 60 ปี ส่งผลให้ผู้สูงอายุรู้สึกมีคุณค่าในตัวเอง],3. ความคิดเห็นต่อผลกระทบของตนเอง [1. ท่านคิดว่านโยบายนี้ทำให้โอกาสในการเลื่อนตำแหน่งของท่านลดลง],3. ความคิดเห็นต่อผลกระทบของตนเอง [2. ท่านคิดว่านโยบายนี้ส่งผลดีต่อความมั่นคงและรายได้ของท่าน],3. ความคิดเห็นต่อผลกระทบของตนเอง [3. ท่านคิดว่าตนเองจะมีสุขภาพร่างกายและจิตใจที่พร้อมจะทำงานจนถึงอายุ 65 ปี],3. ความคิดเห็นต่อผลกระทบของตนเอง [4. ท่านกังวลว่าสิทธิในการรับบำเหน็จบำนาญของท่านอาจมีการเปลี่ยนแปลงหรือได้รับผลกระทบจากนโยบายนี้],3. ความคิดเห็นต่อผลกระทบของตนเอง [5. ท่านยินดีจะเข้าร่วมนโยบายดังกล่าว หากภาครัฐเปิดโอกาสให้เลือกขยายอายุเกษียณราขการ],1. หากนโยบายขยายอายุเกษียณมีผลบังคับใช้ ท่านคิดว่าควรมีเงื่อนไขหรือมาตรการเพิ่มเติมอย่างไร,2. ท่านมีความกังวลหรือข้อห่วงใยเกี่ยวกับนโยบายนี้หรือไม่ โปรดอธิบาย,3. ท่านมีข้อเสนอแนะอื่นๆ เพิ่มเติมเกี่ยวกับนโยบายขยายอายุเกษียณราชการหรือไม่
2/9/2026 15:47:31,18 - 29 ปี (พ.ศ. 2551 - 2540),6 เดือน,ใช่,(ประเภทวิชาการ) ปฏิบัติการ,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,ทราบและเข้าใจรายละเอียดดี,หน่วยงานที่สังกัด,แก้ไขปัญหาการขาดแคลนกำลังคน,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, ปรับลดภาระงานหรือเวลาทํางานสำหรับข้าราชการผู้สูงอายุ",ห่วง เพราะอายุ65เหมือนจะแก่ไป,
2/9/2026 15:53:43,18 - 29 ปี (พ.ศ. 2551 - 2540),3.3,ใช่,(ประเภทวิชาการ) ปฏิบัติการ,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,เคยได้ยินแต่ไม่ทราบรายละเอียด,"สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน",ไม่ทราบ/ไม่แน่ใจ,3,1,1,3,4,3,3,4,2,5,2,3,1,1,1,3,1,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ",,
2/9/2026 16:40:57,46 - 60 ปี (พ.ศ. 2523 - 2509),11.7,ใช่,(ประเภทวิชาการ) ชำนาญการ,"30,001 - 45,000 บาท","มากกว่า 1,000,000 บาท",ทราบและเข้าใจรายละเอียดดี,หน่วยงานที่สังกัด,ลดภาระงบประมาณบำเหน็จบำนาญ,3,4,3,4,5,2,3,3,3,3,3,4,3,3,3,3,1,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย",-,-
2/9/2026 16:53:17,30 - 45 ปี (พ.ศ. 2539 -2524),19.5,ใช่,อื่น ๆ เช่น พนักงานราชการ / outsource,"30,001 - 45,000 บาท","มากกว่า 1,000,000 บาท",ทราบแต่ไม่แน่ใจในรายละเอียด,"เพื่อนร่วมงาน, หน่วยงานที่สังกัด",แก้ไขปัญหาการขาดแคลนกำลังคน,2,3,3,4,4,2,4,2,3,4,2,2,2,3,2,2,2,ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี,,
2/10/2026 9:55:55,30 - 45 ปี (พ.ศ. 2539 -2524),5 ปี 3 เดือน,ใช่,(ประเภทวิชาการ) ชำนาญการ,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,ทราบแต่ไม่แน่ใจในรายละเอียด,"หนังสือพิมพ์ โทรทัศน์, สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน, หน่วยงานที่สังกัด, การประชุม/สัมมนา, เว็บไซต์ราชการ","รองรับสังคมผู้สูงอายุ, ลดภาระงบประมาณบำเหน็จบำนาญ",4,5,1,4,4,4,3,5,3,4,5,4,4,4,5,4,3,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เพิ่มสวัสดิการด้านสุขภาพสำหรับข้าราชการผู้สูงอายุ, จัดให้มีการตรวจสุขภาพประจำปีฟรีสำหรับข้าราชการอายุ 60 ปีขึ้นไป",นโยบายการขยายอายุเกษียณราชการเป็นนโยบายที่แก้ปัญหาที่ปลายเหตุ เนื่องจากการทำงานในสังคมราชการที่คนทำงานหน้างานจริงๆคือข้าราชการระดับเจ้าหน้าที่เป็นส่วนใหญ่ ทำให้ข้าราชการที่ขยายอายุเกษียณแทบจะไม่มีความสำคัญในการทำงานดังกล่าวนอกจากเป็นคนกำหนดนโยบาย ซึ่งหน้าที่ดังกล่าวข้าราชการในช่วงอายุ 50-60 ปี ก็สามารถทำแทนได้เช่นกัน นโยบายดังกล่าวไม่ผิด แต่อาจจะแก้ไม่ถูกจุด 100% และอาจจะต้องมีนโยบายอื่นมาช่วยเสริมเพื่อรองรับสังคมผู้สูงอายุระดับสุดยอดในอนาคต เช่น การมีนโยบายสร้างสภาพแวดล้อมเพื่อให้เด็กรุ่นใหม่อยากมีลูก,
2/10/2026 10:05:32,18 - 29 ปี (พ.ศ. 2551 - 2540),2.4,ใช่,อื่น ๆ เช่น พนักงานราชการ / outsource,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,ทราบแต่ไม่แน่ใจในรายละเอียด,"สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน","แก้ไขปัญหาการขาดแคลนกำลังคน, รองรับสังคมผู้สูงอายุ, ใช้ประโยชน์จากประสบการณ์ผู้มีอาวุโส",3,5,4,4,5,3,3,4,5,5,4,3,4,3,5,3,3,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย, ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ",,
2/10/2026 10:39:38,46 - 60 ปี (พ.ศ. 2523 - 2509),8,ใช่,(ประเภทวิชาการ) ชำนาญการ,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,ทราบแต่ไม่แน่ใจในรายละเอียด,"หนังสือพิมพ์ โทรทัศน์, สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน",แก้ไขปัญหาการขาดแคลนกำลังคน,1,4,1,1,5,1,1,5,2,1,1,1,5,1,5,5,1,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, ไม่ควรมีมาตรการเพิ่มเติม เพราะการเพิ่มสิทธิประโยชน์จะยิ่งเป็นการสิ้นเปลืองโดยไม่จำเป็น",ไม่กังวล เนื่องจากปัจจุบันก็มีความสุขกับชีวิตราชการ,ควรขยายอายุแบบไม่เพิ่มสิทธิประโยชน์ใดๆ เพราะขยายอายุเกษียณก็ถือว่าได้ช่วยเพิ่มผลประโยชน์ของข้าราชการอยู่แล้ว
2/10/2026 11:11:36,30 - 45 ปี (พ.ศ. 2539 -2524),6ปี 2เดือน,ใช่,(ประเภทวิชาการ) ชำนาญการ,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,ทราบแต่ไม่แน่ใจในรายละเอียด,"สื่อออนไลน์ โซเชียลมีเดีย, การพูดคุยกับเพื่อนร่วมงาน (เม้ามอย)","แก้ไขปัญหาการขาดแคลนกำลังคน, รองรับสังคมผู้สูงอายุ, ใช้ประโยชน์จากประสบการณ์ผู้มีอาวุโส",4,3,3,4,2,1,2,5,3,5,5,4,4,5,2,3,2,"จัดให้มีการตรวจสุขภาพประจำปีฟรีสำหรับข้าราชการอายุ 60 ปีขึ้นไป, ปรับลดภาระงานหรือเวลาทํางานสำหรับข้าราชการผู้สูงอายุ, เปิดโอกาสให้คนรุ่นใหม่เข้ามาทํางานมากขึ้นควบคู่ไปด้วย, ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ",กลัวตอนอายุ 65 ปีจะสุขภาพไม่ดีจนมีผลต่อการทำงาน,ให้เฉพาะผู้ที่สมัครใจ
2/10/2026 11:18:43,30 - 45 ปี (พ.ศ. 2539 -2524),6.5,ใช่,(ประเภทวิชาการ) ชำนาญการ,"15,000 - 30,000 บาท","100,001 - 500,000 บาท",ทราบแต่ไม่แน่ใจในรายละเอียด,"สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน","แก้ไขปัญหาการขาดแคลนกำลังคน, รองรับสังคมผู้สูงอายุ, ลดภาระงบประมาณบำเหน็จบำนาญ",4,3,5,5,4,2,4,3,3,4,4,4,5,3,2,5,2,"ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี, เพิ่มสวัสดิการด้านสุขภาพสำหรับข้าราชการผู้สูงอายุ, จัดให้มีการตรวจสุขภาพประจำปีฟรีสำหรับข้าราชการอายุ 60 ปีขึ้นไป, ควรมีช่วงเวลาทดลองใช้นโยบายก่อนบังคับใช้เต็มรูปแบบ",ในการดำเนินนโนยายฯ อาจกระทบต่อการวางแผนในอายุราชการ รวมทั้งในการดำเนินการอาจเพิ่มช่วงของอายุเพิ่มมากขึ้น ซึ่งอาจมีผลต่อการปฏิบัติงานร่วมกันในองค์กร,"1) ควรมีการนำร่องในประเภทงานที่ขาดแคลน หรือเป็นตำแหน่งที่สำคัญ และจำเป็นต้องอาศัยความเชี่ยวชายในการดำเนินการก่อน เพื่อศึกษาความเหมาะสม
2) ควรมีการทดลองเริ่มตั้งแต่ 1 ปี เป็นต้นไปเพื่อให้ผู้เกษียณสามารถสำรวจตัวเองได้ว่าเหมาะสมที่จะอยู่ในองค์กรต่อไปหรือไม่"
2/10/2026 11:23:11,30 - 45 ปี (พ.ศ. 2539 -2524),2,ใช่,(ประเภทวิชาการ) ปฏิบัติการ,"15,000 - 30,000 บาท",ไม่มีหนี้สิน,ทราบแต่ไม่แน่ใจในรายละเอียด,"สื่อออนไลน์ โซเชียลมีเดีย, เพื่อนร่วมงาน",รองรับสังคมผู้สูงอายุ,3,4,3,4,4,3,3,3,3,4,4,4,3,4,3,4,3,ให้ข้าราชการเลือกได้ว่าจะเกษียณเมื่ออายุ 60 หรือ 65 ปี,,
